Aidan Carey,,,tval,xdrag,ydrag,ydrag ratio
,,,1.87,916.6375135,302.3324438,0.997963495
,,,1.88,921.5139061,302.9494019,0.998002473
,,,1.89,926.390038,303.5557627,0.998041226
,,,1.9,931.2659093,304.1515268,0.998079759
,,,1.91,936.1415202,304.7366948,0.998118077
,,,1.92,941.0168706,305.3112672,0.998156185
,,,1.93,945.8919607,305.8752446,0.998194088
,,,1.94,950.7667907,306.4286277,0.998231792
,,,1.95,955.6413604,306.9714169,0.998269302
,,,1.96,960.5156702,307.5036128,0.998306622
,,,1.97,965.38972,308.0252161,0.998343756
,,,1.98,970.2635099,308.5362272,0.998380711
,,,1.99,975.1370401,309.0366468,0.99841749
,,,2,980.0103106,309.5264754,0.998454099
,,,2.01,984.8833215,310.0057136,0.998490541
,,,2.02,989.7560729,310.474362,0.998526821
,,,2.03,994.6285648,310.9324212,0.998562944
,,,2.04,999.5007974,311.3798916,0.998598913
,,,2.05,1004.372771,311.816774,0.998634734
,,,2.06,1009.244485,312.2430688,0.998670411
,,,2.07,1014.11594,312.6587766,0.998705947
,,,2.08,1018.987136,313.063898,0.998741346
,,,2.09,1023.858073,313.4584335,0.998776614
,,,2.1,1028.728751,313.8423838,0.998811754
,,,2.11,1033.59917,314.2157494,0.99884677
,,,2.12,1038.469331,314.5785308,0.998881666
,,,2.13,1043.339232,314.9307287,0.998916445
,,,2.14,1048.208876,315.2723436,0.998951113
,,,2.15,1053.07826,315.603376,0.998985672
,,,2.16,1057.947386,315.9238265,0.999020126
,,,2.17,1062.816254,316.2336957,0.999054479
,,,2.18,1067.684864,316.5329842,0.999088736
,,,2.19,1072.553215,316.8216925,0.999122899
,,,2.2,1077.421308,317.0998212,0.999156972
,,,2.21,1082.289142,317.3673708,0.999190959
,,,2.22,1087.156719,317.6243419,0.999224864
,,,2.23,1092.024037,317.8707351,0.999258689
,,,2.24,1096.891098,318.1065509,0.999292439
,,,2.25,1101.757901,318.33179,0.999326118
,,,2.26,1106.624445,318.5464528,0.999359728
,,,2.27,1111.490732,318.7505399,0.999393273
,,,2.28,1116.356761,318.9440519,0.999426757
,,,2.29,1121.222533,319.1269893,0.999460182
,,,2.3,1126.088046,319.2993528,0.999493553
,,,2.31,1130.953302,319.4611428,0.999526873
,,,2.32,1135.818301,319.6123599,0.999560145
,,,2.33,1140.683041,319.7530048,0.999593373
,,,2.34,1145.547525,319.8830779,0.99962656
,,,2.35,1150.411751,320.0025797,0.999659708
,,,2.36,1155.275719,320.111511,0.999692823
,,,2.37,1160.13943,320.2098722,0.999725906
,,,2.38,1165.002884,320.2976639,0.999758961
,,,2.39,1169.866081,320.3748867,0.999791992
,,,2.4,1174.72902,320.441541,0.999825002
,,,2.41,1179.591702,320.4976275,0.999857993
,,,2.42,1184.454127,320.5431468,0.99989097
,,,2.43,1189.316294,320.5780993,0.999923936
,,,2.44,1194.178205,320.6024857,0.999956893
,,,2.45,1199.039858,320.6163065,0.999989845
,,,2.46,1203.901255,320.6195622,1.000022796
,,,2.47,1208.762394,320.6122535,1.000055748
,,,2.48,1213.623276,320.5943809,1.000088706
,,,2.49,1218.483901,320.5659449,1.000121671
,,,2.5,1223.34427,320.5269461,1.000154648
,,,2.51,1228.204381,320.477385,1.000187639
,,,2.52,1233.064235,320.4172623,1.000220648
,,,2.53,1237.923833,320.3465784,1.000253678
,,,2.54,1242.783174,320.265334,1.000286733
,,,2.55,1247.642258,320.1735296,1.000319816
,,,2.56,1252.501085,320.0711657,1.00035293
,,,2.57,1257.359655,319.9582429,1.000386078
,,,2.58,1262.217968,319.8347618,1.000419264
,,,2.59,1267.076025,319.7007229,1.000452491
,,,2.6,1271.933824,319.5561268,1.000485762
,,,2.61,1276.791367,319.400974,1.000519081
,,,2.62,1281.648653,319.2352651,1.000552451
,,,2.63,1286.505683,319.0590007,1.000585876
