X,CH1,CH2,Start,Increment
Sequence,Volt,Volt,8.02E-03,1.00E-06
313,2.68E+00,1.12E-01,,
314,2.76E+00,1.10E-01,,
315,2.68E+00,9.44E-02,,
316,2.72E+00,9.92E-02,,
317,2.76E+00,1.07E-01,,
318,2.72E+00,1.13E-01,,
319,2.78E+00,9.36E-02,,
320,2.78E+00,9.84E-02,,
321,2.72E+00,1.10E-01,,
322,2.76E+00,1.12E-01,,
323,2.78E+00,1.03E-01,,
324,2.76E+00,1.06E-01,,
325,2.82E+00,1.13E-01,,
326,2.78E+00,1.07E-01,,
327,2.82E+00,1.16E-01,,
328,2.78E+00,1.02E-01,,
329,2.84E+00,1.23E-01,,
330,2.82E+00,1.07E-01,,
331,2.84E+00,1.21E-01,,
332,2.82E+00,1.12E-01,,
333,2.84E+00,1.19E-01,,
334,2.82E+00,1.26E-01,,
335,2.88E+00,1.02E-01,,
336,2.88E+00,1.14E-01,,
337,2.82E+00,1.22E-01,,
338,2.88E+00,1.16E-01,,
339,2.84E+00,1.23E-01,,
340,2.84E+00,1.18E-01,,
341,2.90E+00,1.24E-01,,
342,2.88E+00,1.19E-01,,
343,2.90E+00,1.26E-01,,
344,2.88E+00,1.32E-01,,
345,2.94E+00,1.16E-01,,
346,2.94E+00,1.34E-01,,
347,2.88E+00,1.16E-01,,
348,2.90E+00,1.24E-01,,
349,2.94E+00,1.30E-01,,
350,2.90E+00,1.26E-01,,
351,2.98E+00,1.32E-01,,
352,2.98E+00,1.35E-01,,
353,2.90E+00,1.18E-01,,
354,2.98E+00,1.37E-01,,
355,2.94E+00,1.26E-01,,
356,2.94E+00,1.37E-01,,
357,3.00E+00,1.30E-01,,
358,2.98E+00,1.30E-01,,
359,3.00E+00,1.38E-01,,
360,3.00E+00,1.46E-01,,
361,2.98E+00,1.30E-01,,
362,3.00E+00,1.39E-01,,
363,2.98E+00,1.30E-01,,
364,3.00E+00,1.37E-01,,
365,2.94E+00,1.30E-01,,
366,2.98E+00,1.35E-01,,
367,2.94E+00,1.26E-01,,
368,2.94E+00,1.39E-01,,
369,2.98E+00,1.17E-01,,
370,2.98E+00,1.33E-01,,
371,2.90E+00,1.24E-01,,
372,2.94E+00,1.30E-01,,
373,2.90E+00,1.23E-01,,
374,2.94E+00,1.22E-01,,
375,2.88E+00,1.30E-01,,
376,2.88E+00,1.14E-01,,
377,2.94E+00,1.34E-01,,
378,2.90E+00,1.26E-01,,
379,2.88E+00,1.19E-01,,
380,2.90E+00,1.18E-01,,
381,2.84E+00,1.26E-01,,
382,2.88E+00,1.24E-01,,
383,2.84E+00,1.16E-01,,
384,2.88E+00,1.26E-01,,
385,2.84E+00,1.07E-01,,
386,2.88E+00,1.21E-01,,
387,2.82E+00,1.12E-01,,
388,2.84E+00,1.19E-01,,
389,2.82E+00,1.12E-01,,
390,2.82E+00,1.17E-01,,
391,2.84E+00,1.10E-01,,
392,2.82E+00,1.05E-01,,
393,2.78E+00,1.22E-01,,
394,2.82E+00,1.14E-01,,
395,2.78E+00,1.07E-01,,
396,2.82E+00,1.13E-01,,
397,2.76E+00,1.06E-01,,
398,2.78E+00,9.68E-02,,
399,2.76E+00,1.17E-01,,
400,2.78E+00,9.20E-02,,
401,2.72E+00,1.16E-01,,
402,2.78E+00,1.10E-01,,
403,2.72E+00,1.01E-01,,
404,2.76E+00,1.08E-01,,
405,2.72E+00,9.92E-02,,
406,2.72E+00,1.06E-01,,
407,2.76E+00,9.92E-02,,
408,2.72E+00,9.20E-02,,
409,2.68E+00,1.10E-01,,
410,2.68E+00,1.03E-01,,
