latitude  longitude
42.698686 -72.124661
42.698662 -72.124450
42.698637 -72.124238
42.698613 -72.124029
42.698550 -72.124909
42.698601 -72.125328
42.698626 -72.125540
42.698651 -72.125751
42.698676 -72.125963
42.698702 -72.126174
42.698726 -72.126384
42.698752 -72.126597
42.698777 -72.126810
42.698828 -72.127232
42.698852 -72.127443
42.698879 -72.127658
42.698903 -72.127869
42.698929 -72.128083
42.698952 -72.128293
42.698978 -72.128503
42.699004 -72.128714
42.699053 -72.129132
42.699077 -72.129344
42.699126 -72.129762
42.699151 -72.129970
42.699177 -72.130179
42.699201 -72.130389
42.699226 -72.130598
42.699249 -72.130807
42.699273 -72.131015
42.699296 -72.131224
42.699321 -72.131433
42.699345 -72.131644
42.699369 -72.131852
42.699394 -72.132061
42.699442 -72.132480
42.699540 -72.133319
42.699565 -72.133527
42.699589 -72.133736
42.699615 -72.133946
42.699639 -72.134157
42.699664 -72.134366
42.699688 -72.134574
42.699713 -72.134782
42.699737 -72.134991
42.699762 -72.135201
42.699787 -72.135409
42.699811 -72.135617
42.699835 -72.135826
42.699858 -72.136034
42.699883 -72.136242
42.699907 -72.136450
42.699932 -72.136660
42.699957 -72.136869
42.699980 -72.137078
42.699998 -72.138575
42.699973 -72.138367
42.699950 -72.138159
42.699926 -72.137950
42.699901 -72.137743
42.699877 -72.137533
42.699852 -72.137327
42.699803 -72.136910
42.699780 -72.136702
42.699756 -72.136492
42.699731 -72.136283
42.699708 -72.136075
42.699683 -72.135866
42.699660 -72.135658
42.699636 -72.135449
42.699612 -72.135241
42.699589 -72.135031
42.699565 -72.134822
42.699542 -72.134614
42.699517 -72.134406
42.699494 -72.134198
42.699470 -72.133988
42.699446 -72.133781
42.699421 -72.133574
42.699398 -72.133366
42.699349 -72.132950
42.699326 -72.132740
42.699278 -72.132324
42.699230 -72.131906
42.699207 -72.131696
42.699183 -72.131486
42.699160 -72.131277
42.699136 -72.131068
42.699112 -72.130859
42.699088 -72.130651
42.699065 -72.130442
42.699041 -72.130231
42.699018 -72.130022
42.698994 -72.129813
42.698969 -72.129604
42.698920 -72.129185
42.698896 -72.128975
42.698871 -72.128766
42.698848 -72.128557
42.698823 -72.128347
42.698798 -72.128136
42.698773 -72.127922
42.698747 -72.127712
42.698723 -72.127500
42.698697 -72.127288
42.698673 -72.127077
42.698649 -72.126867
42.698624 -72.126654
42.698575 -72.126233
42.698551 -72.126023
42.698526 -72.125812
42.698477 -72.125387
42.698455 -72.125178
42.698319 -72.125426
42.698343 -72.125641
42.698369 -72.125855
42.698393 -72.126066
42.698418 -72.126278
42.698443 -72.126491
42.698469 -72.126703
42.698494 -72.126916
42.698519 -72.127127
42.698546 -72.127341
42.698571 -72.127553
42.698596 -72.127762
42.698620 -72.127973
42.698670 -72.128394
42.698695 -72.128603
42.698720 -72.128813
42.698744 -72.129023
42.698794 -72.129443
42.698844 -72.129863
42.698870 -72.130072
42.698920 -72.130493
42.698945 -72.130702
42.699018 -72.131329
42.699043 -72.131539
42.699066 -72.131751
42.699091 -72.131960
42.699115 -72.132168
42.699138 -72.132378
42.699162 -72.132587
42.699185 -72.132797
42.699210 -72.133007
42.699257 -72.133424
42.699281 -72.133632
42.699304 -72.133840
42.699329 -72.134048
42.699352 -72.134258
42.699377 -72.134465
42.699401 -72.134674
42.699426 -72.134882
42.699450 -72.135091
42.699475 -72.135302
42.699500 -72.135510
42.699524 -72.135720
42.699549 -72.135929
42.699573 -72.136139
42.699599 -72.136349
42.699623 -72.136560
42.699648 -72.136769
42.699673 -72.136979
42.699697 -72.137188
42.699722 -72.137396
42.699746 -72.137604
42.699771 -72.137815
42.699795 -72.138023
42.699844 -72.138437
42.699868 -72.138646
42.699916 -72.139063
42.699940 -72.139272
42.699963 -72.139481
42.699995 -72.141192
42.699972 -72.140981
42.699947 -72.140772
42.699923 -72.140563
42.699898 -72.140353
42.699875 -72.140145
42.699851 -72.139934
42.699827 -72.139726
42.699779 -72.139311
42.699756 -72.139105
42.699731 -72.138897
42.699708 -72.138690
42.699684 -72.138484
42.699662 -72.138277
42.699568 -72.137445
42.699545 -72.137237
42.699521 -72.137028
42.699499 -72.136819
42.699476 -72.136610
42.699451 -72.136399
42.699428 -72.136190
42.699403 -72.135981
42.699380 -72.135772
42.699355 -72.135563
42.699307 -72.135144
42.699283 -72.134935
42.699259 -72.134727
42.699235 -72.134517
42.699211 -72.134309
42.699186 -72.134100
42.699163 -72.133891
42.699139 -72.133683
42.699116 -72.133474
42.699092 -72.133267
42.699068 -72.133059
